wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4016.31186751
1000.0        4016.31186751
1500.0        4016.31186751
2000.0        4016.31186751
2500.0        4016.31186751
3000.0        4016.31186751
3500.0        4016.31186751
4000.0        4016.31186751
4500.0        4016.31186751
5000.0        4203.17350566
5500.0        4628.45888777
6000.0        4905.49555275
6500.0        5335.04551388
7000.0        6178.79383815
7500.0        7033.09192078
8000.0        7742.12060266
8500.0        8091.3461898
9000.0        8614.0473837
9500.0        9092.7066384
10000.0        9999.9320022
10500.0        10723.9305046
11000.0        11199.3332708
11500.0        11504.1726379
12000.0        11884.7963469
12500.0        12040.9972386
13000.0        12129.0662847
13500.0        12203.2607647
14000.0        12222.7521353
14500.0        12222.7521353
15000.0        12222.7521353
15500.0        12222.7521353
16000.0        12222.7521353
16500.0        12222.7521353
17000.0        12222.7521353
17500.0        12222.7521353
18000.0        12222.7521353
18500.0        12222.7521353
19000.0        12222.7521353
19500.0        12222.7521353
20000.0        12222.7521353
