wsi_di_SWP
wsi                   di
0.0        0.0
500.0        781.966723063
1000.0        781.966723063
1500.0        781.966723063
2000.0        807.961879536
2500.0        1285.89148816
3000.0        1925.34785953
3500.0        2744.61592983
4000.0        3641.6557914
4500.0        4561.13754271
5000.0        5277.82142927
5500.0        6430.37072835
6000.0        7200.30765004
6500.0        7865.69833587
7000.0        7934.79013746
7500.0        8136.01578308
8000.0        8136.01578308
8500.0        8136.01578308
9000.0        8136.01578308
9500.0        8136.01578308
10000.0        8136.01578308
10500.0        8136.01578308
11000.0        8136.01578308
11500.0        8136.01578308
12000.0        8136.01578308
12500.0        8136.01578308
13000.0        8136.01578308
13500.0        8136.01578308
14000.0        8136.01578308
14500.0        8136.01578308
15000.0        8136.01578308
15500.0        8136.01578308
16000.0        8136.01578308
16500.0        8136.01578308
17000.0        8136.01578308
17500.0        8136.01578308
18000.0        8136.01578308
18500.0        8136.01578308
19000.0        8136.01578308
19500.0        8136.01578308
20000.0        8136.01578308
