wsi_di_SWP
wsi                   di
0.0        0.0
500.0        781.568633529
1000.0        781.568633529
1500.0        781.568633529
2000.0        809.461125878
2500.0        1302.70879472
3000.0        1953.29072572
3500.0        2751.47039803
4000.0        3634.98293155
4500.0        4548.88927119
5000.0        5264.78107715
5500.0        6421.41009462
6000.0        7190.45101046
6500.0        7849.60252209
7000.0        7912.14067336
7500.0        8123.97888303
8000.0        8123.97888303
8500.0        8123.97888303
9000.0        8123.97888303
9500.0        8123.97888303
10000.0        8123.97888303
10500.0        8123.97888303
11000.0        8123.97888303
11500.0        8123.97888303
12000.0        8123.97888303
12500.0        8123.97888303
13000.0        8123.97888303
13500.0        8123.97888303
14000.0        8123.97888303
14500.0        8123.97888303
15000.0        8123.97888303
15500.0        8123.97888303
16000.0        8123.97888303
16500.0        8123.97888303
17000.0        8123.97888303
17500.0        8123.97888303
18000.0        8123.97888303
18500.0        8123.97888303
19000.0        8123.97888303
19500.0        8123.97888303
20000.0        8123.97888303
